Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID,year,player_id,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
nathan eovaldi,33,649,Maj-AL,Texas,25,25,12.0,5.0,,144.0,117,59,58,47,132,15,6,3.63,521,27,5,0,19,2,8,4,1,577,2232,0.63,0.15,0.12,0.52,0.22,0.05,1.139,0.271,8.3,2.81,543135,2023,543135,577,22.9,8.1,0.296,0.308,30.1,7.9,43.1,77.314907795,94.415751825,26.4,47.8
jack flaherty,27,648,"Maj-AL,Maj-NL","Baltimore,St. Louis",29,27,8.0,9.0,,144.1,162,83,80,66,148,17,12,4.99,565,37,2,2,19,6,4,2,0,650,2634,0.61,0.17,0.11,0.43,0.28,0.05,1.58,0.357,9.2,2.24,656427,2023,656427,650,22.8,10.2,0.356,0.343,38.5,7.3,38.3,76.595665118,93.759440071,26.6,44.0
j.p. france,28,655,Maj-AL,Houston,24,23,11.0,6.0,,136.1,138,64,58,47,101,19,2,3.83,524,20,1,0,17,7,9,2,3,581,2203,0.62,0.17,0.09,0.42,0.25,0.07,1.357,0.29,6.7,2.15,641585,2023,641585,581,17.4,8.1,0.319,0.337,33.9,8.1,38.7,79.324354233,94.108334569,21.9,44.9
kyle freeland,30,662,Maj-NL,Colorado,28,28,5.0,14.0,,149.2,184,96,87,41,93,29,1,5.23,604,28,6,0,17,6,13,7,2,656,2343,0.66,0.14,0.08,0.41,0.25,0.05,1.503,0.318,5.6,2.27,607536,2023,607536,677,13.9,6.2,0.36,0.361,35.0,8.7,43.5,79.780080451,94.648559793,17.2,51.0
zac gallen,27,649,Maj-NL,Arizona,33,33,17.0,8.0,,205.1,182,82,76,44,213,22,5,3.33,770,40,3,0,17,4,5,6,0,823,3163,0.65,0.17,0.11,0.43,0.27,0.04,1.101,0.297,9.3,4.84,668678,2023,668678,846,26.0,5.6,0.289,0.314,36.4,9.2,46.2,82.024994196,95.003873538,26.4,47.2
braxton garrett,25,651,Maj-NL,Miami,31,30,9.0,7.0,,159.2,154,68,65,29,156,20,11,3.66,617,37,4,0,12,2,14,3,3,659,2480,0.66,0.19,0.11,0.49,0.27,0.04,1.146,0.302,8.8,5.38,666129,2023,666129,659,23.7,4.4,0.307,0.328,32.2,7.8,45.1,78.937398913,95.013758957,25.4,47.2
kevin gausman,32,652,Maj-AL,Toronto,31,31,12.0,9.0,,185.0,163,72,65,55,237,19,3,3.16,700,43,1,0,9,1,21,4,3,763,3070,0.66,0.17,0.13,0.43,0.25,0.06,1.178,0.324,11.5,4.31,592332,2023,592332,763,31.1,7.2,0.292,0.303,36.9,9.9,43.3,77.897586061,94.803198308,28.9,49.3
kyle gibson,35,648,Maj-AL,Baltimore,32,32,14.0,9.0,,187.0,192,97,97,54,154,23,5,4.67,713,42,4,0,22,11,7,4,1,786,2959,0.62,0.17,0.11,0.5,0.23,0.04,1.316,0.309,7.4,2.85,502043,2023,502043,807,19.5,6.8,0.326,0.335,33.4,7.6,44.5,78.377673356,94.787380789,25.4,45.6
logan gilbert,26,650,Maj-AL,Seattle,32,32,13.0,7.0,,190.2,169,82,79,36,189,29,2,3.73,724,36,2,1,9,5,14,1,0,770,2924,0.67,0.15,0.12,0.42,0.23,0.06,1.075,0.274,8.9,5.25,669302,2023,669302,770,24.5,4.7,0.29,0.297,35.0,9.0,44.6,80.44648539,94.746169145,26.4,52.2
lucas giolito,28,647,Maj-AL,"Chicago,Cleveland,Los Angeles",33,33,8.0,15.0,,184.1,169,110,100,73,204,41,9,4.88,705,34,7,2,6,6,13,6,2,794,3191,0.63,0.17,0.12,0.36,0.23,0.12,1.313,0.275,10.0,2.79,608337,2023,608337,794,25.7,9.2,0.339,0.329,33.3,11.0,41.6,77.97955087,94.420691621,28.8,46.8
austin gomber,29,681,Maj-NL,Colorado,27,27,9.0,9.0,,139.0,164,88,85,43,87,26,3,5.5,552,35,3,1,18,1,8,1,1,603,2162,0.64,0.16,0.08,0.43,0.24,0.07,1.489,0.314,5.6,2.02,596295,2023,596295,603,14.4,7.1,0.368,0.361,31.3,8.9,44.3,79.777446652,94.9510922,19.1,47.5
mackenzie gore,24,670,Maj-NL,Washington,27,27,7.0,10.0,,136.1,134,71,67,57,151,27,1,4.42,519,19,2,0,16,4,10,3,5,582,2461,0.63,0.15,0.12,0.39,0.26,0.06,1.401,0.31,10.0,2.65,669022,2023,669022,582,25.9,9.8,0.339,0.347,35.1,12.1,43.7,78.41922712,94.967012446,27.9,48.5
jon gray,31,653,Maj-AL,Texas,29,29,9.0,8.0,,157.1,149,75,72,54,142,22,9,4.12,582,16,1,1,13,7,12,9,4,656,2394,0.66,0.15,0.12,0.41,0.26,0.07,1.29,0.299,8.1,2.63,592351,2023,592351,656,21.6,8.2,0.317,0.325,35.5,6.4,39.5,78.991165586,94.126791486,26.4,50.8
