Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID,year,player_id,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
mitch keller,28,286,Maj-NL,Pittsburgh,30,30,11.0,12.0,,172.1,175,85,80,48,163,23,14,4.18,674,36,11,0,10,7,32,1,0,746,2766,0.66,0.19,0.09,0.4,0.28,0.05,1.294,0.307,8.5,3.4,656605,2024,656605,773,21.5,6.5,0.331,0.32,38.0,7.2,39.3,77.859026134,94.078079089,21.5,47.6
yusei kikuchi,33,287,Maj-AL,"Houston,Toronto",31,31,9.0,9.0,,171.1,161,82,76,41,202,24,2,3.99,664,23,1,0,7,3,8,4,0,714,2830,0.65,0.17,0.13,0.42,0.23,0.05,1.179,0.311,10.6,4.93,579328,2024,579328,736,28.0,6.0,0.297,0.298,33.5,9.7,45.0,79.146503958,94.844128643,29.0,48.4
michael king,29,281,Maj-NL,San Diego,30,30,13.0,9.0,,173.1,143,66,52,53,202,15,7,2.7,651,27,2,2,8,1,8,3,3,714,2821,0.65,0.19,0.12,0.41,0.26,0.08,1.131,0.294,10.5,3.81,650633,2024,650633,726,27.7,8.7,0.284,0.293,35.2,6.2,30.3,73.981359732,92.671656987,29.3,45.4
george kirby,26,287,Maj-AL,Seattle,32,32,13.0,11.0,,184.1,179,82,75,21,171,22,7,3.66,718,38,3,0,8,5,23,6,0,754,2869,0.68,0.15,0.11,0.43,0.21,0.09,1.085,0.296,8.3,8.14,669923,2024,669923,778,23.0,3.0,0.287,0.288,30.5,8.1,36.3,78.774593274,93.753520357,24.1,53.4
dean kremer,28,288,Maj-AL,Baltimore,24,24,8.0,10.0,,129.2,110,72,59,51,123,18,3,4.1,493,19,0,0,6,5,6,3,1,553,2171,0.64,0.18,0.09,0.42,0.19,0.1,1.242,0.258,8.5,2.41,665152,2024,665152,553,22.2,9.2,0.294,0.326,31.1,9.8,35.4,75.880741892,93.507892033,23.3,46.2
zack littell,28,287,Maj-AL,Tampa Bay,28,28,7.0,10.0,,150.1,160,68,63,29,135,22,5,3.77,598,29,2,0,11,0,6,3,1,634,2394,0.68,0.16,0.11,0.34,0.28,0.1,1.257,0.313,8.1,4.66,641793,2024,641793,656,21.5,4.7,0.317,0.321,36.2,9.6,39.2,78.590295546,94.137344568,23.1,51.9
ben lively,32,284,Maj-AL,Cleveland,29,29,13.0,10.0,,151.0,139,67,64,49,118,23,5,3.81,577,26,4,0,10,1,12,3,3,632,2406,0.65,0.19,0.08,0.43,0.21,0.08,1.245,0.265,7.0,2.41,594902,2024,594902,632,18.7,7.8,0.315,0.309,30.7,6.5,41.5,80.455663231,94.191914792,18.6,46.6
pablo lopez,28,285,Maj-AL,Minnesota,31,31,14.0,10.0,,178.1,176,89,83,41,191,25,8,4.19,691,31,0,0,10,4,11,1,2,748,2898,0.67,0.15,0.13,0.44,0.25,0.05,1.217,0.315,9.6,4.66,641154,2024,641154,772,25.6,5.3,0.306,0.297,35.9,8.2,37.5,76.717040308,93.587928673,27.0,51.8
reynaldo lopez,30,282,Maj-NL,Atlanta,26,25,8.0,5.0,,135.2,108,32,30,42,148,10,2,1.99,492,22,2,0,14,6,20,1,0,543,2110,0.65,0.16,0.12,0.4,0.29,0.06,1.106,0.288,9.8,3.52,625643,2024,625643,543,27.3,7.7,0.271,0.307,37.3,8.8,42.2,79.439650977,94.317767471,27.5,49.0
michael lorenzen,32,284,Maj-AL,"Kansas City,Texas",26,24,7.0,6.0,,130.1,101,49,48,60,97,17,6,3.31,468,20,1,0,14,2,6,5,0,536,2093,0.61,0.17,0.09,0.42,0.22,0.1,1.235,0.236,6.7,1.62,547179,2024,547179,535,18.1,11.0,0.303,0.329,32.2,8.0,39.4,76.902993817,94.185249946,22.8,44.7
seth lugo,34,284,Maj-AL,Kansas City,32,32,16.0,9.0,,200.2,175,75,69,47,177,16,8,3.09,753,36,6,1,18,4,5,4,1,814,3026,0.65,0.19,0.09,0.45,0.25,0.05,1.106,0.282,7.9,3.77,607625,2024,607625,836,21.7,5.7,0.278,0.3,32.8,8.0,39.0,77.299278949,93.994017356,22.5,46.7
lance lynn,37,295,Maj-NL,St. Louis,22,22,7.0,4.0,,113.1,109,64,50,43,104,16,4,3.97,442,21,1,0,7,4,16,3,1,494,1970,0.62,0.14,0.1,0.37,0.27,0.09,1.341,0.285,8.3,2.42,458681,2024,458681,511,21.3,8.6,0.314,0.34,37.0,10.5,39.3,77.577234686,94.259379457,24.1,48.4
sean manaea,32,285,Maj-NL,New York,32,32,12.0,6.0,,181.2,134,75,70,63,184,21,9,3.47,662,27,0,0,11,3,23,3,6,738,2996,0.65,0.16,0.12,0.38,0.25,0.08,1.084,0.246,9.1,2.92,640455,2024,640455,738,24.9,8.5,0.275,0.3,37.0,7.5,37.8,77.674456946,93.857812243,26.1,49.0
alec marsh,26,283,Maj-AL,Kansas City,26,25,9.0,9.0,,129.0,123,70,65,39,123,19,11,4.53,493,28,3,1,9,4,9,2,5,548,2161,0.64,0.17,0.1,0.39,0.26,0.09,1.256,0.293,8.6,3.15,679525,2024,679525,548,22.4,7.1,0.325,0.341,38.0,9.6,40.9,78.827178162,94.623945041,23.5,47.6
nick martinez,33,285,Maj-NL,Cincinnati,41,15,10.0,7.0,,137.1,122,53,46,17,113,12,4,3.01,519,32,2,0,9,3,8,3,4,547,2035,0.68,0.17,0.11,0.38,0.25,0.09,1.012,0.277,7.4,6.65,607259,2024,607259,570,20.4,3.2,0.279,0.278,34.0,5.1,30.5,74.850496934,92.978959505,23.1,51.1
miles mikolas,35,285,Maj-NL,St. Louis,31,31,10.0,10.0,,167.1,187,101,97,23,117,24,5,5.22,666,50,4,0,17,5,8,2,0,700,2631,0.69,0.19,0.07,0.42,0.25,0.07,1.255,0.308,6.3,5.09,571945,2024,571945,720,16.9,3.5,0.339,0.331,38.1,8.1,42.3,77.511449435,94.25374515,16.4,49.8
bryce miller,25,289,Maj-AL,Seattle,30,30,12.0,7.0,,175.1,125,58,55,43,165,19,3,2.82,634,25,1,1,6,2,10,7,1,682,2658,0.65,0.16,0.11,0.39,0.21,0.07,0.958,0.235,8.5,3.84,682243,2024,682243,704,24.3,6.4,0.26,0.299,32.8,9.7,41.2,80.650222167,94.328141625,24.4,48.9
frankie montas,31,285,Maj-NL,"Cincinnati,Milwaukee",29,29,6.0,11.0,,144.2,136,89,81,66,144,24,6,5.04,555,28,1,0,6,5,17,7,1,634,2552,0.63,0.14,0.11,0.41,0.27,0.06,1.396,0.286,9.0,2.18,593423,2024,593423,655,22.6,10.1,0.325,0.333,36.2,9.2,43.1,77.762357972,94.576313396,24.9,48.7
jordan montgomery,31,290,Maj-NL,Arizona,25,21,8.0,7.0,1.0,117.0,149,83,81,44,83,14,2,6.23,478,40,3,3,9,4,14,4,3,532,1931,0.63,0.13,0.12,0.43,0.28,0.04,1.65,0.351,6.4,1.89,656756,2024,656756,532,15.6,8.3,0.37,0.347,36.6,6.0,41.0,77.212722234,94.218289135,26.9,49.6
charlie morton,40,283,Maj-NL,Atlanta,30,30,8.0,10.0,,165.1,154,85,77,65,167,23,18,4.19,613,35,2,1,20,4,12,7,9,701,2791,0.63,0.17,0.11,0.47,0.25,0.04,1.325,0.307,9.1,2.57,450203,2024,450203,701,23.8,9.3,0.335,0.326,33.0,9.3,38.4,77.729736875,93.929105313,26.1,46.6
tobias myers,25,284,Maj-NL,Milwaukee,27,25,9.0,6.0,,138.0,126,52,46,36,127,18,5,3.0,520,19,1,0,11,5,5,5,4,569,2152,0.66,0.16,0.09,0.38,0.28,0.09,1.174,0.284,8.3,3.53,668964,2024,668964,569,22.3,6.3,0.297,0.317,36.4,8.0,38.7,79.298209695,94.361623995,21.3,49.6
ryne nelson,26,283,Maj-NL,Arizona,28,25,10.0,6.0,1.0,150.2,155,73,71,34,126,17,5,4.24,583,36,9,2,18,7,2,0,0,630,2407,0.68,0.16,0.08,0.42,0.28,0.06,1.254,0.309,7.5,3.71,669194,2024,669194,630,20.0,5.4,0.322,0.315,34.5,7.5,41.6,79.83287319,94.487586272,18.2,51.8
aaron nola,31,283,Maj-NL,Philadelphia,32,32,14.0,7.0,,195.0,178,77,73,49,194,28,3,3.37,741,36,2,0,9,3,12,6,1,796,3108,0.66,0.17,0.11,0.44,0.24,0.07,1.164,0.287,9.0,3.96,605400,2024,605400,820,24.0,6.1,0.31,0.299,35.4,7.2,38.2,77.265343569,94.038174053,25.2,48.6
bailey ober,28,283,Maj-AL,Minnesota,30,30,12.0,8.0,,177.1,127,73,71,42,190,24,6,3.6,642,28,4,0,9,4,3,2,1,695,2643,0.68,0.15,0.14,0.35,0.2,0.1,0.953,0.238,9.6,4.52,641927,2024,641927,709,26.9,6.1,0.282,0.279,34.8,8.3,34.3,76.699154464,93.270078151,29.0,52.4
luis ortiz,25,287,Maj-NL,Pittsburgh,35,15,6.0,6.0,1.0,131.2,109,56,50,39,106,16,9,3.42,490,21,4,1,12,5,7,1,1,543,2110,0.64,0.16,0.09,0.39,0.22,0.07,1.124,0.249,7.2,2.72,682847,2024,682847,556,19.2,7.6,0.287,0.32,34.9,8.8,37.7,78.240775528,94.10121864,21.0,48.1
andre pallante,25,284,Maj-NL,St. Louis,27,20,8.0,8.0,,118.1,107,52,48,47,91,7,2,3.65,446,20,0,0,12,0,26,6,3,496,1932,0.62,0.16,0.08,0.62,0.19,0.03,1.301,0.287,6.9,1.94,669467,2024,669467,509,18.5,9.4,0.293,0.289,24.4,3.3,38.1,75.339766989,93.795724801,19.8,46.4
mitchell parker,24,288,Maj-NL,Washington,29,29,7.0,10.0,,151.0,154,82,72,43,133,18,2,4.29,595,31,2,0,9,5,4,1,2,646,2404,0.67,0.15,0.1,0.39,0.27,0.06,1.305,0.303,7.9,3.09,680730,2024,680730,646,20.6,6.7,0.311,0.322,35.3,8.1,38.9,79.509350699,94.140672817,22.3,51.4
ryan pepiot,26,283,Maj-AL,Tampa Bay,26,26,8.0,8.0,,130.0,102,58,52,48,142,17,7,3.6,481,18,2,0,6,2,9,4,0,539,2150,0.64,0.16,0.13,0.35,0.24,0.12,1.154,0.262,9.8,2.96,686752,2024,686752,539,26.3,8.9,0.29,0.295,31.4,9.1,37.2,79.441531647,93.814038824,29.9,48.0
freddy peralta,28,281,Maj-NL,Milwaukee,32,32,10.0,9.0,,171.2,144,76,73,68,197,25,10,3.83,634,24,2,0,8,5,17,5,2,721,3042,0.61,0.14,0.13,0.37,0.24,0.1,1.235,0.285,10.3,2.9,642547,2024,642547,725,27.6,9.4,0.305,0.304,35.3,8.7,36.9,75.95026724,93.640809751,31.1,46.9
martin perez,33,283,Maj-NL,"Pittsburgh,San Diego",25,25,5.0,6.0,,130.2,145,70,67,46,105,22,5,4.61,515,27,0,0,16,1,4,4,0,569,2118,0.65,0.19,0.09,0.43,0.27,0.06,1.462,0.316,7.2,2.28,527048,2024,527048,590,18.1,8.3,0.351,0.353,34.3,8.6,41.5,76.89241338,94.749829061,21.0,46.0
david peterson,28,283,Maj-NL,New York,21,21,10.0,3.0,,121.0,110,44,39,46,101,8,7,2.9,453,22,1,0,11,3,5,2,7,510,1872,0.65,0.17,0.11,0.51,0.24,0.04,1.289,0.294,7.5,2.2,656849,2024,656849,510,19.8,9.0,0.299,0.328,35.7,7.3,42.7,78.331204972,94.426613853,25.6,47.8
brandon pfaadt,25,283,Maj-NL,Arizona,31,31,10.0,10.0,,176.2,178,102,94,42,179,24,2,4.79,688,31,6,1,15,5,7,3,1,739,2707,0.67,0.18,0.12,0.42,0.23,0.06,1.245,0.314,9.1,4.26,694297,2024,694297,760,24.3,5.5,0.312,0.301,33.0,8.1,39.4,78.684914866,94.224942476,25.4,49.3
nick pivetta,31,285,Maj-AL,Boston,25,25,6.0,10.0,,133.2,121,66,64,36,152,26,1,4.31,510,23,4,1,8,4,8,3,1,551,2210,0.66,0.16,0.11,0.34,0.24,0.09,1.175,0.283,10.2,4.22,601713,2024,601713,595,28.9,6.1,0.306,0.291,38.9,10.1,38.9,79.225758698,93.96201671,25.6,50.3
cal quantrill,29,285,Maj-NL,Colorado,28,28,8.0,10.0,,143.1,147,78,77,68,109,21,11,4.83,548,25,6,0,17,3,13,8,3,632,2556,0.61,0.15,0.09,0.45,0.25,0.05,1.5,0.299,6.8,1.6,615698,2024,615698,656,16.8,10.5,0.358,0.351,37.1,7.3,41.2,77.92321026,94.354738243,21.6,45.7
jose quintana,35,284,Maj-NL,New York,30,30,10.0,9.0,,165.2,144,71,69,61,131,21,11,3.75,616,29,3,0,18,4,8,2,0,696,2734,0.6,0.16,0.09,0.48,0.23,0.05,1.237,0.263,7.1,2.15,500779,2024,500779,717,18.8,8.8,0.312,0.327,32.9,6.7,38.2,76.44604848,93.89600374,22.2,43.1
cole ragans,26,281,Maj-AL,Kansas City,32,32,12.0,8.0,,186.1,145,69,63,64,222,14,6,3.04,684,33,3,0,11,1,8,3,2,758,3101,0.64,0.15,0.14,0.41,0.23,0.08,1.122,0.292,10.7,3.47,666142,2024,666142,762,29.3,8.8,0.277,0.283,31.8,6.2,35.4,77.675891223,93.553010853,32.0,48.9
colin rea,33,283,Maj-NL,Milwaukee,31,26,11.0,6.0,1.0,162.2,164,82,79,41,133,29,10,4.37,636,32,2,1,13,4,16,2,6,692,2566,0.65,0.19,0.08,0.4,0.24,0.06,1.26,0.282,7.4,3.24,607067,2024,607067,714,18.9,6.0,0.327,0.339,36.3,8.7,42.0,80.213678192,94.594415173,19.3,46.8
carlos rodon,31,285,Maj-AL,New York,31,31,16.0,9.0,,170.2,152,80,76,54,191,31,10,4.01,649,31,4,0,8,2,18,4,2,715,3015,0.64,0.15,0.14,0.35,0.21,0.08,1.207,0.282,10.1,3.54,607074,2024,607074,736,26.5,7.7,0.32,0.314,34.6,11.0,40.9,80.220048043,94.543522745,30.1,49.4
trevor rogers,26,324,"Maj-AL,Maj-NL","Baltimore,Miami",24,24,2.0,11.0,,119.1,133,70,64,52,91,14,4,4.83,469,37,2,2,8,10,13,6,5,536,2146,0.62,0.16,0.09,0.47,0.22,0.06,1.55,0.318,6.9,1.75,669432,2024,669432,562,17.3,10.0,0.35,0.347,33.3,8.4,44.4,80.391399303,94.92394505,20.9,46.2
joe ryan,28,336,Maj-AL,Minnesota,22,22,7.0,7.0,,129.2,107,58,53,22,142,19,5,3.68,488,22,6,0,6,3,11,2,2,518,2021,0.68,0.17,0.13,0.37,0.23,0.11,0.995,0.267,9.9,6.45,657746,2024,657746,538,27.3,4.3,0.282,0.264,33.6,8.5,36.6,77.148522833,93.914347298,26.6,50.9
chris sale,35,293,Maj-NL,Atlanta,28,28,18.0,3.0,,172.1,136,46,45,37,218,8,7,2.35,633,32,4,0,8,1,12,4,2,680,2734,0.67,0.18,0.14,0.46,0.26,0.04,1.004,0.314,11.4,5.89,519242,2024,519242,702,32.1,5.6,0.26,0.261,34.9,5.6,31.2,75.016805094,93.046190662,31.0,49.0
cristopher sanchez,27,287,Maj-NL,Philadelphia,31,31,11.0,9.0,,181.2,182,76,67,44,153,11,0,3.32,706,34,2,0,18,1,14,6,1,754,2797,0.68,0.16,0.11,0.58,0.24,0.02,1.244,0.315,7.6,3.48,650911,2024,650911,754,20.3,5.8,0.29,0.293,30.2,5.4,34.5,75.18960646,93.870693047,24.3,51.6
jp sears,28,285,Maj-AL,Oakland,31,31,11.0,12.0,,177.1,166,88,83,47,136,28,13,4.21,669,37,2,0,15,6,19,4,1,738,2774,0.65,0.17,0.1,0.39,0.19,0.11,1.201,0.27,6.9,2.89,676664,2024,676664,758,18.1,6.5,0.324,0.324,32.7,10.2,40.2,78.173332182,94.379787855,21.8,48.7
luis severino,30,281,Maj-NL,New York,31,31,12.0,6.0,,183.0,163,84,79,62,158,22,12,3.89,682,25,2,0,16,1,14,5,7,762,2908,0.65,0.15,0.1,0.46,0.2,0.09,1.23,0.28,7.8,2.55,622663,2024,622663,761,21.2,7.9,0.308,0.305,30.4,5.7,35.6,75.272418577,93.515669191,22.0,50.6
brady singer,27,285,Maj-AL,Kansas City,31,31,8.0,13.0,,172.2,172,77,74,53,160,22,8,3.86,669,31,3,0,14,1,3,6,1,735,2870,0.63,0.18,0.1,0.47,0.27,0.04,1.303,0.307,8.3,3.02,663903,2024,663903,762,22.3,7.1,0.316,0.331,35.6,8.0,41.7,77.275001577,94.431135896,25.1,44.7
paul skenes,22,284,Maj-NL,Pittsburgh,23,23,11.0,3.0,,133.0,94,31,29,32,170,10,6,1.96,475,14,1,0,15,1,6,1,4,514,2127,0.66,0.16,0.13,0.52,0.2,0.07,0.947,0.284,11.5,5.31,694973,2024,694973,514,33.1,6.2,0.247,0.248,27.8,5.2,36.3,76.618528618,93.629853102,28.7,49.8
tarik skubal,27,281,Maj-AL,Detroit,31,31,18.0,4.0,,192.0,143,54,51,36,228,15,9,2.39,706,24,4,0,12,3,3,3,0,755,2871,0.69,0.18,0.14,0.46,0.22,0.07,0.932,0.275,10.7,6.33,669373,2024,669373,753,30.3,4.6,0.246,0.257,33.1,6.7,33.9,76.236530506,93.34039981,31.9,51.8
mitch spence,26,283,Maj-AL,Oakland,34,24,8.0,10.0,,148.1,163,78,76,41,123,20,6,4.61,588,39,3,0,12,2,14,6,0,638,2426,0.65,0.14,0.1,0.49,0.22,0.06,1.375,0.32,7.5,3.0,687765,2024,687765,651,19.4,6.8,0.34,0.314,30.9,8.4,41.7,78.960464768,94.185021142,22.5,50.6
justin steele,28,288,Maj-NL,Chicago,23,23,5.0,5.0,,130.0,108,53,45,36,129,12,4,3.12,491,21,0,0,5,2,9,2,1,537,1979,0.69,0.17,0.11,0.46,0.23,0.09,1.108,0.273,8.9,3.58,657006,2024,657006,555,24.3,6.7,0.271,0.258,30.9,4.2,33.2,75.731326576,93.083319918,23.7,51.5
gavin stone,25,312,Maj-NL,Los Angeles,24,24,11.0,5.0,,135.1,126,52,52,36,110,18,2,3.46,516,24,2,0,11,3,8,1,1,557,2067,0.65,0.15,0.11,0.45,0.25,0.05,1.197,0.276,7.3,3.06,694813,2024,694813,580,20.0,6.4,0.304,0.306,32.5,6.4,36.2,77.107440095,93.702925548,24.7,50.4
marcus stroman,33,287,Maj-AL,New York,29,28,9.0,9.0,1.0,148.2,163,78,74,58,109,19,7,4.48,581,26,4,0,15,3,25,5,1,650,2566,0.61,0.17,0.08,0.5,0.22,0.05,1.487,0.316,6.6,1.88,573186,2024,573186,675,16.7,8.9,0.341,0.34,35.5,6.7,40.2,78.437503663,94.344487814,20.4,43.9
albert suarez,34,283,Maj-AL,Baltimore,32,24,9.0,7.0,,133.2,130,56,55,43,108,17,3,3.7,510,34,1,1,8,5,10,3,0,565,2234,0.62,0.12,0.11,0.36,0.26,0.07,1.294,0.29,7.3,2.51,544150,2024,544150,565,19.1,7.6,0.32,0.311,38.0,7.1,38.4,78.437722921,93.664169109,24.6,50.4
ranger suarez,28,285,Maj-NL,Philadelphia,26,26,12.0,8.0,,145.2,137,60,55,40,138,13,5,3.4,558,31,2,1,8,1,8,3,2,608,2272,0.65,0.18,0.09,0.53,0.25,0.04,1.215,0.304,8.5,3.45,624133,2024,624133,626,23.2,6.5,0.297,0.297,32.9,5.1,34.3,74.743507217,93.618829764,21.9,47.3
jameson taillon,32,285,Maj-NL,Chicago,28,28,12.0,8.0,,165.1,154,67,60,33,125,21,1,3.27,633,24,2,0,8,4,14,0,1,675,2483,0.66,0.18,0.09,0.4,0.23,0.06,1.131,0.271,6.8,3.79,592791,2024,592791,675,18.5,4.9,0.289,0.311,32.2,7.2,38.8,79.650003386,94.067909961,19.5,48.2
framber valdez,30,281,Maj-AL,Houston,28,28,15.0,8.0,,176.0,142,60,57,51,167,13,5,2.91,637,25,1,0,30,6,10,1,0,701,2592,0.64,0.18,0.11,0.61,0.22,0.01,1.097,0.279,8.5,3.27,664285,2024,664285,703,24.0,7.8,0.272,0.287,26.0,5.3,45.0,80.000726364,94.620557662,27.2,45.0
michael wacha,32,286,Maj-AL,Kansas City,29,29,13.0,8.0,,166.2,154,65,62,45,145,17,5,3.35,625,29,4,1,17,4,4,2,0,685,2603,0.64,0.16,0.1,0.4,0.24,0.1,1.194,0.293,7.8,3.22,608379,2024,608379,685,21.2,6.6,0.3,0.311,32.7,8.2,32.5,75.614261583,93.109005646,23.3,48.5
matt waldron,27,283,Maj-NL,San Diego,27,26,7.0,11.0,,146.2,145,84,80,40,133,21,11,4.91,568,32,2,0,10,3,16,2,1,625,2450,0.64,0.19,0.09,0.39,0.23,0.1,1.261,0.297,8.2,3.33,663362,2024,663362,625,21.3,6.4,0.323,0.313,33.9,7.0,35.0,77.177450505,93.585477592,20.8,45.3
logan webb,27,288,Maj-NL,San Francisco,32,32,13.0,10.0,,198.2,197,81,77,48,167,11,2,3.49,761,35,4,2,24,5,20,5,3,817,3105,0.66,0.2,0.08,0.57,0.23,0.02,1.233,0.316,7.6,3.48,657277,2024,657277,841,20.5,5.9,0.288,0.32,32.1,7.0,46.2,77.927662825,95.233452829,20.8,46.2
zack wheeler,34,284,Maj-NL,Philadelphia,31,31,16.0,7.0,,194.0,134,62,57,52,219,20,8,2.64,700,27,5,0,13,3,7,2,1,764,3046,0.65,0.14,0.13,0.43,0.21,0.1,0.959,0.246,10.2,4.21,554430,2024,554430,787,28.5,6.6,0.256,0.261,32.6,8.3,33.6,74.93491968,93.046728036,27.5,51.2
simeon woods richardson,23,287,Maj-AL,Minnesota,28,28,5.0,5.0,,133.2,125,63,62,48,117,16,3,4.17,509,21,1,0,4,7,11,2,3,569,2295,0.65,0.16,0.1,0.36,0.24,0.09,1.294,0.285,7.9,2.44,680573,2024,680573,569,20.6,8.4,0.305,0.31,35.7,8.2,36.2,78.06318392,93.54377801,22.3,49.8
andrew abbott,26,0,Maj-NL,Cincinnati,16,16,8.0,1.0,,91.1,75,26,21,24,83,10,1,2.07,342,14,0,0,5,1,7,1,2,369,1459,0.66,0.16,0.11,0.32,0.24,0.09,1.084,0.26,8.2,3.46,671096,2025,671096,369,22.5,6.5,0.274,0.291,34.5,7.7,33.0,78.596852266,93.127914431,24.1,50.1
sandy alcantara,29,0,Maj-NL,Miami,17,17,4.0,9.0,,86.1,96,72,71,33,64,12,4,7.4,345,25,0,0,2,8,20,0,0,391,1510,0.64,0.16,0.08,0.45,0.26,0.03,1.494,0.303,6.7,1.94,645261,2025,645261,411,17.3,9.0,0.339,0.355,34.6,9.1,44.6,80.169566577,94.979918889,19.6,47.5
logan allen,26,4,Maj-AL,Cleveland,17,16,5.0,7.0,,84.0,84,42,38,36,65,10,2,4.07,320,14,0,0,7,4,6,5,3,364,1483,0.61,0.18,0.07,0.44,0.2,0.08,1.429,0.297,7.0,1.81,671106,2025,671106,364,17.9,9.9,0.326,0.339,30.4,9.6,34.2,76.385070078,93.711695814,19.0,42.9
tyler anderson,35,3,Maj-AL,Los Angeles,17,17,2.0,6.0,,91.2,90,46,42,35,75,14,3,4.12,359,21,3,4,3,4,8,1,1,401,1579,0.64,0.15,0.12,0.32,0.26,0.09,1.364,0.277,7.4,2.14,542881,2025,542881,423,18.7,8.7,0.332,0.337,43.4,9.2,35.5,76.756554474,93.752161023,25.9,49.2
chris bassitt,36,1,Maj-AL,Toronto,18,18,8.0,4.0,,100.0,107,50,48,27,96,13,9,4.32,397,19,2,0,9,1,10,2,1,434,1645,0.65,0.17,0.1,0.44,0.25,0.1,1.34,0.325,8.6,3.56,605135,2025,605135,461,22.3,6.3,0.331,0.316,32.8,7.5,34.1,74.374771447,93.456853365,22.5,48.4
shane baz,26,2,Maj-AL,Tampa Bay,18,18,8.0,4.0,,103.2,93,50,50,38,104,17,5,4.34,389,20,0,0,14,1,10,0,0,434,1649,0.65,0.16,0.12,0.49,0.2,0.08,1.264,0.283,9.0,2.74,669358,2025,669358,434,24.0,8.8,0.323,0.314,28.6,10.5,41.8,78.36012986,94.572429755,25.9,48.2
brayan bello,26,1,Maj-AL,Boston,15,14,5.0,3.0,,85.1,77,36,31,34,65,9,7,3.27,318,8,0,0,9,1,9,5,3,362,1395,0.61,0.16,0.08,0.53,0.21,0.05,1.301,0.278,6.9,1.91,678394,2025,678394,362,18.0,9.4,0.307,0.335,28.9,7.4,37.9,77.330281811,94.002535827,19.3,44.9
jose berrios,31,2,Maj-AL,Toronto,18,18,5.0,2.0,,107.1,88,39,38,37,91,10,5,3.19,392,18,2,2,12,1,6,2,2,436,1582,0.64,0.17,0.1,0.4,0.24,0.1,1.165,0.267,7.6,2.46,621244,2025,621244,460,20.9,8.5,0.304,0.341,33.1,10.6,41.3,79.396331824,94.599426404,23.0,46.8
tanner bibee,26,2,Maj-AL,Cleveland,17,17,3.0,9.0,,97.2,94,53,50,29,88,17,7,4.61,374,12,1,1,5,2,11,2,3,414,1643,0.64,0.18,0.1,0.46,0.2,0.06,1.259,0.284,8.1,3.03,676440,2025,676440,434,20.7,7.1,0.318,0.309,28.8,8.5,38.2,77.091275497,94.104342957,24.0,45.0
hayden birdsong,23,3,Maj-NL,San Francisco,20,9,4.0,3.0,,65.2,60,37,30,33,68,10,4,4.11,251,11,2,0,4,3,1,1,1,292,1169,0.6,0.15,0.11,0.34,0.24,0.11,1.416,0.284,9.3,2.06,806185,2025,806185,292,23.3,11.3,0.331,0.333,35.8,9.6,46.5,79.089471075,94.633378333,28.5,44.5
matthew boyd,34,3,Maj-NL,Chicago,17,17,9.0,3.0,,98.2,84,34,29,20,91,10,5,2.65,361,13,2,0,9,4,4,2,9,391,1513,0.68,0.15,0.1,0.37,0.22,0.11,1.054,0.28,8.3,4.55,571510,2025,571510,413,23.2,5.6,0.281,0.293,32.2,8.0,37.4,77.162227762,93.784149056,22.5,52.2
taj bradley,24,4,Maj-AL,Tampa Bay,17,17,4.0,6.0,,91.2,85,58,50,37,77,12,3,4.91,347,16,0,0,11,4,1,2,0,391,1480,0.63,0.15,0.09,0.48,0.21,0.07,1.331,0.279,7.6,2.08,671737,2025,671737,414,20.3,8.9,0.311,0.31,29.8,5.9,38.3,77.702869783,94.041383007,22.1,48.4
ben brown,25,16,Maj-NL,Chicago,14,13,3.0,5.0,,71.2,84,49,49,22,81,12,4,6.15,294,10,4,0,4,1,7,0,0,321,1196,0.66,0.18,0.12,0.41,0.24,0.06,1.479,0.356,10.2,3.68,676962,2025,676962,359,25.3,7.5,0.355,0.347,36.3,11.8,48.1,83.006485726,95.628106524,27.8,47.9
hunter brown,26,1,Maj-AL,Houston,17,17,9.0,2.0,,104.0,67,25,25,29,122,10,3,2.16,364,8,1,1,11,0,14,4,1,396,1620,0.62,0.17,0.12,0.47,0.22,0.07,0.923,0.246,10.6,4.21,686613,2025,686613,419,30.8,7.6,0.248,0.28,31.4,6.3,32.5,73.857827953,93.377820945,29.0,45.0
kris bubic,27,0,Maj-AL,Kansas City,17,17,6.0,6.0,,102.2,89,34,30,32,105,6,2,2.63,382,19,3,1,13,2,2,3,0,418,1568,0.67,0.17,0.14,0.45,0.27,0.06,1.179,0.304,9.2,3.28,663460,2025,663460,442,25.6,7.7,0.279,0.285,33.6,7.2,40.4,76.510620205,94.152682131,29.4,49.9
walker buehler,30,4,Maj-AL,Boston,14,14,6.0,5.0,,67.2,75,49,46,32,58,14,7,6.12,268,10,1,0,6,2,11,1,2,309,1217,0.62,0.18,0.08,0.45,0.25,0.07,1.581,0.308,7.7,1.81,621111,2025,621111,329,18.5,9.4,0.373,0.36,32.9,9.6,38.2,75.758873186,94.155297778,19.9,44.7
