Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Hayden Birdsong,23,0,Maj-NL,San Francisco,5,5,1.0,1.0,,24.0,24,18,17,12,21,4,2,6.38,96,5,0,0,0,1,1,0,0,111,446,0.6,0.13,0.11,0.43,0.22,0.14,1.5,0.278,7.9,1.75,806185
Paul Blackburn,31,3,Maj-NL,New York,5,3,,2.0,1.0,17.2,24,14,13,7,13,2,1,6.62,73,5,3,0,2,3,2,0,0,84,330,0.62,0.15,0.11,0.35,0.3,0.08,1.755,0.361,6.6,1.86,621112
Scott Blewett,29,1,"Maj-AL,Maj-NL","Atlanta,Baltimore",10,1,1.0,,,17.0,20,13,12,5,10,5,0,6.35,69,1,1,0,1,1,2,1,0,75,282,0.63,0.13,0.11,0.43,0.2,0.03,1.471,0.273,5.3,2.0,656240
Matthew Boyd,34,1,Maj-NL,Chicago,6,6,3.0,1.0,,36.1,22,8,6,6,26,3,0,1.49,124,3,0,0,2,1,1,2,5,132,512,0.7,0.15,0.09,0.37,0.16,0.17,0.771,0.198,6.4,4.33,571510
Taj Bradley,24,2,Maj-AL,Tampa Bay,5,5,1.0,1.0,,23.0,21,20,13,10,23,3,0,5.09,92,4,0,0,2,0,0,0,0,102,399,0.62,0.15,0.09,0.55,0.23,0.03,1.348,0.273,9.0,2.3,671737
Beau Brieske,27,15,Maj-AL,Detroit,5,1,,2.0,,4.0,6,7,6,4,4,1,0,13.5,16,1,0,1,0,1,1,0,0,22,80,0.56,0.09,0.11,0.43,0.29,0.0,2.5,0.417,9.0,1.0,689225
Ben Brown,25,3,Maj-NL,Chicago,5,4,1.0,3.0,,28.2,31,18,18,9,29,7,1,5.65,115,6,1,0,1,0,4,0,0,125,436,0.65,0.15,0.12,0.36,0.22,0.06,1.395,0.304,9.1,3.22,676962
Hunter Brown,26,0,Maj-AL,Houston,5,5,1.0,,,30.1,13,4,4,12,39,2,3,1.19,100,0,0,0,2,0,1,2,0,115,475,0.58,0.17,0.13,0.52,0.23,0.05,0.824,0.186,11.6,3.25,686613
Kris Bubic,27,2,Maj-AL,Kansas City,4,4,1.0,3.0,,22.2,27,13,11,7,26,1,1,4.37,92,7,3,0,2,1,2,1,0,101,388,0.67,0.13,0.14,0.43,0.36,0.04,1.5,0.394,10.3,3.71,663460
Walker Buehler,30,3,Maj-AL,Boston,5,5,1.0,3.0,,22.0,34,28,26,16,20,7,4,10.64,98,6,0,0,1,0,6,1,1,118,457,0.6,0.16,0.08,0.42,0.23,0.09,2.273,0.38,8.2,1.25,621111
Sean Burke,25,1,Maj-AL,Chicago,5,4,1.0,2.0,,27.0,29,15,12,7,29,3,0,4.0,103,8,0,0,2,2,5,2,0,113,442,0.66,0.14,0.11,0.32,0.28,0.09,1.333,0.356,9.7,4.14,680732
Corbin Burnes,30,25,Maj-NL,Arizona,1,1,,,,4.2,4,1,1,1,6,0,0,1.93,18,2,0,0,0,0,0,0,0,19,70,0.64,0.16,0.14,0.67,0.25,0.0,1.071,0.333,11.6,6.0,669203
Chase Burns,22,2,Maj-NL,Cincinnati,1,1,,,,5.0,6,3,3,0,8,1,0,5.4,21,0,1,0,0,0,1,0,0,21,81,0.65,0.15,0.11,0.15,0.46,0.23,1.2,0.417,14.4,,695505
Mike Burrows,25,1,Maj-NL,Pittsburgh,5,4,1.0,1.0,,22.0,22,7,7,5,25,3,1,2.86,84,3,0,0,1,2,3,1,0,92,336,0.63,0.16,0.11,0.33,0.33,0.1,1.227,0.328,10.2,5.0,681347
Edward Cabrera,27,1,Maj-NL,Miami,5,5,1.0,1.0,,24.1,19,8,6,13,26,2,2,2.22,86,2,0,0,2,1,2,3,0,103,388,0.62,0.17,0.12,0.44,0.27,0.03,1.315,0.288,9.6,2.0,665795
Noah Cameron,25,5,Maj-AL,Kansas City,5,5,1.0,2.0,,28.1,24,9,9,9,20,2,0,2.86,105,5,0,0,3,0,0,1,0,114,447,0.63,0.17,0.11,0.45,0.18,0.06,1.165,0.265,6.4,2.22,702070
